COM,name of commune,global score,dpt score,region score,dept name,dept number,region name,Acces aux interfaces numériques,Acces a l’information,Compétences Administratives,Competences numériques/Scolaires
66197,Souanyas,"118,263453326","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,0,"138,648100444","79,67969635","176,302411357"
66198,Sournia,"110,33480586","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"83,818625458","110,090868368","58,132510859","149,937981054"
66199,Taillet,"95,695508617","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"81,901518232","113,821682517","54,595347499","105,01641047"
66201,Tarerach,"85,674392143","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,0,"123,677556291","51,272152434","107,709543922"
66202,Targassonne,"60,039429663","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"103,308255388","27,005459599","72,478450082","65,219476655"
66203,Taulis,"54,401729444","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,0,"54,010919199","45,356134846","86,516201711"
66204,Taurinya,"79,924820503","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"88,416700556","79,539194511","64,926342819","83,563745312"
66205,Tautavel,"105,03385679","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"85,485292124","113,670598372","83,036066067","117,170292901"
66206,Le Tech,"97,469582175","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,0,"176,504767883","58,315030516","86,746463383"
66207,Terrats,"89,908462779","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"97,593872848","85,074394115","72,753288611","99,477413492"
66208,Théza,"94,07850579","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"94,177850075","88,147417265","107,533041063","93,232654537"
66209,Thuès-Entre-Valls,"65,525535349","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,0,"45,009099332","49,135812749","126,99960034"
66210,Thuir,"109,720051720333","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"96,508937044","118,976775767333","91,1473038056667","116,35525897"
66211,Tordères,"69,30798875","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"88,132031991","51,211138664","85,701998982","69,7958121"
66212,Torreilles,"96,164033901","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"96,966924224","104,105634925","83,475195452","94,165406941"
66213,Toulouges,"98,0775092045","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"101,492685165","96,9202345335","89,2744916935","101,9287046525"
66214,Tresserre,"77,797314776","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"102,078080521","59,694510434","92,265225441","76,525780913"
66215,Trévillach,"71,322924416","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"92,095363969","48,224034999","33,8004317","102,796840414"
66216,Trilla,"93,708748262","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,0,"164,448759133","31,44692016","100,954025573"
66217,Trouillas,"88,670779524","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"95,877954001","88,357392304","83,866060658","87,782938938"
66218,Ur,"91,420098355","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"93,556832046","86,181009613","71,555331333","105,523203762"
66219,Urbanya,"74,056061977","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,0,"33,756824499","51,272152434","162,775285216"
66220,Valcebollère,"74,29130193","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,0,"81,016378798","42,116410928","120,799321529"
66221,Valmanya,"46,114496071","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,0,"33,756824499","32,7572085","88,208059465"
66222,Vernet-les-Bains,"102,344689228","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"91,927612851","85,726259736","56,700868193","146,993567426"
66223,Villefranche-de-Conflent,"104,414586498","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"75,772671818","138,739564443","67,066891336","103,084413473"
66224,Villelongue-de-la-Salanque,"88,082713759","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"96,566185441","75,034921533","84,62187898","98,619187533"
66225,Villelongue-dels-Monts,"93,700131579","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"100,621116544","63,60471181","73,243867018","130,563191147"
66226,Villemolaque,"84,624775856","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"93,517690118","73,588954605","101,585771227","82,733642291"
66227,Villeneuve-de-la-Raho,"87,089864897","91,7568378164372","87,3421581534948",PYRENEES ORIENTALES,66,OCCITANIE,"110,671682256","69,014120752","81,643347404","96,097959109"
