COM,name of commune,global score,dpt score,region score,dept name,dept number,region name,Acces aux interfaces numériques,Acces a l’information,Compétences Administratives,Competences numériques/Scolaires
35062,La Chapelle-Janson,"79,411729433","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"93,686307285","42,10127058","78,385449643","110,098039256"
35063,La Chapelle-Saint-Aubert,"81,801508975","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"99,19402269","53,144695803","92,176382678","96,574628439"
35064,La Chapelle-de-Brain,"85,897406684","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"88,701769049","63,342702926","68,22718054","115,885042333"
35065,La Chapelle-Thouarault,"78,129608129","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"104,151692436","55,38676478","90,024267518","81,914079631"
35066,Chartres-de-Bretagne,"99,4499693695","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"108,606119701","96,13245287625","117,712542638","89,05812406275"
35067,Chasné-sur-Illet,"67,858788551","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"109,382922413","48,618506884","90,902973894","54,814910615"
35068,Châteaubourg,"89,23205402","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"106,523656962","91,340891824","108,785045164","68,700919172"
35069,Châteaugiron,"78,7643140676667","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"116,500905419","65,1052799343333","92,7061470216666","66,58413605"
35070,Châteauneuf-d'Ille-et-Vilaine,"93,268005203","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"96,082323443","112,556361138","92,852309816","72,780337841"
35071,Le Châtellier,"76,496678503","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"95,247713238","53,788448326","87,390251852","84,382604638"
35072,Châtillon-en-Vendelais,"83,811849095","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"94,039281237","63,276096318","95,525571356","93,377024671"
35075,Chauvigné,"88,440218186","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"88,951833431","76,817219577","76,958762212","105,548137159"
35076,Chavagne,"84,828109996","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"105,914937085","72,135594262","95,188308774","81,797112797"
35077,Chelun,"65,472392234","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"91,708455217","40,858970167","86,614416557","66,396770648"
35078,Cherrueix,"107,866821268","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"94,087384501","88,747507185","82,960424949","146,329051894"
35079,Chevaigné,"78,984604693","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"112,646956401","70,67189889","101,665527995","59,12567299"
35080,Cintré,"70,296521795","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"108,293285973","45,237724521","98,039885873","62,485254941"
35081,Clayes,"72,946938691","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"104,752286762","64,168809706","99,035067608","52,778329183"
35082,Coësmes,"79,015167305","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"91,72122394","57,969256686","79,969149666","93,231058426"
35084,Comblessac,"85,931709274","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"91,971240906","71,851513329","66,590167674","106,662910204"
35085,Combourg,"104,259884643","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"96,080582254","102,914819633","80,377358131","121,635864104"
35086,Combourtillé,"73,149998142","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"93,139132655","41,832844696","89,20058253","86,447292136"
35087,Cornillé,"75,271542454","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"96,760315879","51,345855847","111,954148479","70,111539335"
35088,Corps-Nuds,"87,233388652","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"105,858058225","83,217102273","99,914927273","75,596570935"
35089,La Couyère,"74,72456864","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"97,618749129","44,306275925","94,218487413","83,948811724"
35090,Crevin,"68,889437001","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"101,380182941","47,762074856","104,220901825","56,105693763"
35091,Le Crouais,"67,794371491","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"102,219436319","34,324669191","99,499666791","68,198893728"
35092,Cuguen,"92,77709578","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"92,828040117","80,587325325","94,11434122","104,272771347"
35093,Dinard,"119,9379997282","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"110,084970052","123,0273904598","75,6462145912","143,9210164036"
35094,Dingé,"82,118980072","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"94,673507607","67,841956982","88,689774215","86,833342322"
35095,Dol-de-Bretagne,"116,442023385","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"92,194311598","126,217111216","95,065871954","129,478867164"
35096,Domagné,"84,388007593","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"102,294191392","66,589161508","112,490378431","79,18257636"
35097,Domalain,"82,752543319","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"94,896573339","56,476177483","87,440102868","100,61311437"
35098,La Dominelais,"87,554832735","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"91,807122626","89,106276968","94,82449388","80,242412984"
35099,Domloup,"74,242759917","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"112,984816827","60,971095833","103,526006591","53,501772211"
35100,Dompierre-du-Chemin,"67,960831002","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"97,629660584","46,294224344","55,566969445","80,989953649"
35101,Dourdain,"71,31310586","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"98,044853044","57,083296289","95,320399173","60,173395183"
35102,Drouges,"82,566964073","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"92,046245995","67,482838815","91,30571135","88,542074733"
35103,Eancé,"82,908497243","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"87,482394639","53,716885974","104,366295015","99,084260927"
35104,Epiniac,"93,084749085","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"95,04341366","75,361681945","90,775798024","110,982959469"
35105,Erbrée,"76,24558652","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"99,091099039","51,812228697","94,841259436","79,958351626"
35106,Ercé-en-Lamée,"81,065699081","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"90,158048423","62,861344593","75,116743305","97,698356787"
35107,Ercé-près-Liffré,"77,426735632","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"109,184908976","70,03221824","92,621371476","61,34484843"
35108,Essé,"78,966361661","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"98,660444816","77,254952176","91,002549938","64,81263543"
35109,Étrelles,"77,194455533","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"102,364883689","44,3744353","108,077974857","81,987502026"
35110,Feins,"68,782781852","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"98,660444816","39,717638209","75,267580139","79,666694868"
35111,Le Ferré,"94,667462339","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"92,742721828","81,201030811","77,102824585","117,878582998"
35112,Fleurigné,"76,786399422","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"96,828403832","43,246470295","88,272100033","94,562476037"
35113,La Fontenelle,"98,355349394","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"93,774772379","87,501573844","81,601576112","119,876300093"
35114,Forges-la-Forêt,"81,095307989","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"90,026466082","42,251889604","116,329937584","97,85583253"
35115,Fougères,"120,8071451763","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"90,881041928","128,8954852119","106,1457618224","135,012548442"
35116,La Fresnais,"90,572222456","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"93,343834046","88,160392314","86,366946795","93,700884633"
35117,Gaël,"93,967446734","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"89,25976227","89,852398209","92,283140397","101,278490658"
35118,Gahard,"78,100093836","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"105,665320147","74,636454002","68,748327738","72,457003565"
35119,Gennes-sur-Seiche,"77,048357137","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"95,601337234","41,663967619","98,051535804","92,654667275"
35120,Gévezé,"81,082178122","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"108,408784882","65,885075288","116,198684025","65,057724626"
35121,Gosné,"73,397162886","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"104,365231926","56,775861109","92,191391119","65,137316027"
35122,La Gouesnière,"88,553627781","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"100,017411896","99,594274507","89,219097916","71,448353929"
35123,Goven,"86,188007847","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"107,03894814","90,489232084","82,69202097","73,209306903"
35124,Grand-Fougeray,"100,412885834","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"92,475739425","110,310697158","78,24115395","105,569513656"
35125,La Guerche-de-Bretagne,"121,023332015","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"91,612883255","121,644812397","85,721948296","152,757767872"
35126,Guichen,"82,520262571","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"108,228594083","73,037918917","94,149986852","73,3335783293334"
35127,Guignen,"76,434113504","84,9161852868348","90,9674275169347",ILLE ET VILAINE,35,BRETAGNE,"98,91883735","68,528555996","89,564444668","66,532143507"
